BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-09-15,34.06,35.2,35.23,35.66,36.27,36.27,36.27,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2016-11-04,32.59,34.62,34.62,34.62,34.62,34.62,34.62,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2017-04-17,36.56,37.36,37.47,37.9,37.9,38.07,40.28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
2019-04-18,64.77,68.85,69.83,69.83,69.83,69.83,72.61,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2020-03-02,72.37,74.05,74.05,74.05,74.85,79.74,89.05,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2021-06-03,98.7,100.22,101.23,102.58,107.42,108.68,110.17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2021-09-29,108.39,109.49,109.49,113.67,117.86,117.98,119.87,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2021-10-07,106.98,108.27,114.4,117.86,117.98,119.87,119.87,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-01-21,115.01,114.74,119.69,119.69,119.69,119.69,119.69,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2022-01-28,114.58,119.69,119.69,119.69,119.69,119.69,119.69,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2022-02-22,107.41,112.36,112.36,112.36,112.52,112.52,113.84,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2022-06-15,96.17,97.99,101.04,101.38,101.38,103.24,103.36,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2022-08-30,94.2,97.39,101.09,101.09,101.09,101.09,101.09,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2022-10-03,91.73,96.87,96.87,98.79,98.79,98.79,99.79,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2023-02-28,94.63,97.31,97.31,97.31,97.31,98.19,105.37,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
2023-03-13,91.35,92.57,92.57,94.58,98.19,105.37,105.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2023-05-26,96.18,98.18,98.18,100.67,102.11,102.23,108.82,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2023-09-28,92.18,92.54,92.54,92.54,92.72,92.72,97.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2023-10-16,87.08,92.72,92.72,92.72,92.72,97.74,101.28,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2024-05-30,97.05,100.16,103.96,103.96,103.96,103.96,104.25,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2025-07-18,120.88,124.17,126.77,131.67,131.67,131.67,131.91,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2026-01-30,107.85,109.59,112.25,113.78,115.27,115.27,115.27,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2026-02-05,107.63,112.25,112.25,115.27,115.27,115.27,115.27,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2026-03-31,101.31,102.46,102.46,102.46,102.46,102.46,102.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-17,96.12,96.63,96.63,96.63,96.63,96.63,96.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-27,92.14,94.12,94.12,94.12,94.12,94.12,94.12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2026-05-14,84.3,88.71,88.71,92.07,92.07,94.54,97.44,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
