BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,G_2%_5d,G_2.5%_5d,G_3%_5d,G_3.5%_5d,G_4%_5d,G_4.5%_5d,G_5%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_2.5%_10d,G_3%_10d,G_3.5%_10d,G_4%_10d,G_4.5%_10d,G_5%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_2.5%_15d,G_3%_15d,G_3.5%_15d,G_4%_15d,G_4.5%_15d,G_5%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_2.5%_20d,G_3%_20d,G_3.5%_20d,G_4%_20d,G_4.5%_20d,G_5%_20d,G_8%_20d,G_10%_20d
2015-08-26,46.14,47.7,47.7,47.7,47.7,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2016-01-21,43.53,44.81,44.81,44.81,44.81,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2016-02-10,41.28,42.7,42.7,42.7,42.7,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2016-02-12,41.71,42.1,42.1,42.1,42.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-29,40.99,42.45,43.56,43.71,43.74,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2017-02-16,50.12,51.86,52.23,52.23,52.23,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
2017-04-20,48.27,49.68,51.35,51.35,51.35,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2017-08-31,49.17,49.62,49.78,49.86,50.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2017-09-08,48.6,49.78,49.86,50.57,51.02,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0
2017-11-28,48.89,49.94,49.94,49.94,49.94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-03-05,47.34,47.86,47.86,47.86,47.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-20,45.97,46.61,46.61,46.61,46.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-17,41.5,41.42,41.42,41.42,41.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,36.06,37.64,37.64,37.64,37.64,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
2018-12-12,31.78,33.71,33.71,33.93,35.38,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2018-12-14,31.62,33.71,33.71,34.91,35.83,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-24,20.09,24.31,24.31,24.31,24.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-17,48.14,49.69,49.96,49.96,49.96,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2023-03-20,46.51,48.92,48.92,49.19,49.99,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2024-12-19,70.38,73.03,73.21,73.21,75.17,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
