BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-11-03,10.77,11.83,11.91,12.77,12.77,12.77,13.33,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-10-25,15.32,16.48,17.5,17.92,17.92,18.01,18.01,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-10-30,15.13,16.96,17.5,17.92,17.98,18.01,18.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-12-27,14.02,14.51,15.27,16.34,16.72,17.74,19.3,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-01-04,14.25,15.27,16.34,16.72,17.13,18.73,19.3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-10,27.05,26.53,26.53,26.58,28.24,29.58,30.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1
2020-03-13,26.49,25.83,26.58,26.58,29.58,29.58,30.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-06-21,50.66,55.96,55.96,55.96,58.5,67.03,69.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-27,58.35,62.63,62.7,62.7,65.45,73.31,78.37,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-10-03,58.3,62.7,62.7,63.3,70.45,78.37,78.37,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-26,164.43,170.93,170.93,170.93,170.93,170.93,170.93,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-02-28,166.34,170.93,170.93,170.93,170.93,170.93,170.93,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-03-05,158.62,156.31,156.31,156.31,156.31,156.31,156.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-14,140.48,146.39,153.39,153.39,153.39,153.52,171.26,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2025-04-07,122.33,141.16,141.16,153.52,160.49,172.99,172.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-10-14,148.62,153.71,153.71,158.04,158.04,158.04,180.02,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
