BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-06-17,20.68,21.44,21.44,21.44,22.05,22.81,23.03,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2016-06-28,19.35,21.11,21.87,22.05,22.06,23.03,23.07,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017-08-14,27.36,27.59,27.59,27.71,27.71,27.75,28.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2017-08-22,27.03,27.28,27.71,27.71,27.71,28.72,28.97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0
2017-11-01,27.09,27.65,27.65,27.65,28.06,28.68,28.68,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-11-20,26.04,26.98,28.56,28.68,28.68,28.68,29.48,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-02-06,25.51,25.9,25.9,25.9,25.9,26.05,26.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-02-12,24.94,25.84,25.84,25.84,26.05,26.05,26.05,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2018-10-15,20.64,21.47,22.03,22.38,22.7,23.99,24.7,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2018-12-26,20.63,21.62,22.2,22.55,22.95,22.96,23.73,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-09-05,19.75,21.87,22.07,22.07,22.07,22.07,22.07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-02,17.39,17.88,17.88,17.88,17.88,17.88,17.88,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-10,15.01,15.02,16.42,16.42,16.42,16.42,16.42,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2020-03-13,13.49,16.42,16.42,16.42,16.42,16.42,16.42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-24,12.33,13.61,13.61,13.61,13.61,14.64,14.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-11-02,15.22,16.73,16.73,17.07,17.75,19.14,19.68,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-07-20,23.45,24.21,24.72,26.61,26.85,26.85,26.85,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-19,20.66,20.87,20.87,20.87,20.87,20.87,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2022-09-28,19.17,19.76,19.81,19.81,19.98,20.15,23.23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
2022-10-03,18.91,19.81,19.81,19.81,20.15,23.23,23.23,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
