BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2015-09-02,49.22,50.76,50.76,50.76,50.76,52.76,55.27,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
2016-09-12,58.91,58.69,59.6,60.31,60.31,60.31,60.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-11-11,54.87,54.83,54.83,54.83,54.83,54.83,54.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-22,53.99,54.33,54.33,54.78,54.78,54.93,55.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-11-25,54.15,54.33,54.33,54.78,54.78,54.93,56.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-12-06,52.93,54.78,54.78,54.78,54.78,55.95,56.08,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-07-14,60.0,60.98,61.73,61.73,61.73,61.73,61.73,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2017-10-31,58.63,59.2,61.44,61.44,61.44,62.26,63.01,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2018-02-06,58.9,59.43,60.09,60.09,60.09,60.09,60.47,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-02-09,58.35,60.09,60.09,60.09,60.09,60.09,60.57,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-05-17,52.41,53.11,54.38,54.38,54.5,55.26,55.74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0
2018-10-17,53.82,55.86,55.86,55.86,55.86,55.86,56.16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2018-10-30,51.31,52.09,54.55,54.55,54.55,56.16,56.16,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2018-12-26,50.64,51.45,53.05,53.31,54.58,56.38,57.9,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2020-03-02,63.7,66.37,66.37,66.37,66.37,66.37,66.37,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2021-01-28,71.23,72.17,72.17,72.17,72.17,72.17,72.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,68.03,69.53,69.6,69.6,71.96,72.4,74.25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0
2021-03-05,68.45,69.6,69.6,71.33,71.96,72.85,74.25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0
2022-02-25,71.91,71.71,71.71,71.71,71.71,74.2,77.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
2022-09-28,67.9,68.18,68.18,69.76,69.76,70.41,72.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
2022-10-04,66.91,67.15,69.76,69.76,70.41,71.35,72.64,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0
2022-10-13,66.14,69.76,69.76,70.41,70.42,72.55,73.55,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
2023-01-30,68.75,71.04,71.04,71.04,71.04,71.04,71.04,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023-06-01,71.11,73.11,73.11,74.56,74.56,74.56,74.9,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2023-10-10,66.39,69.07,70.79,72.4,72.67,74.1,76.16,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2023-10-12,66.59,70.43,71.11,72.42,72.78,74.53,76.16,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2024-10-08,98.37,100.36,100.36,100.36,100.36,100.36,100.36,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
