BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-12-02,40.47,43.69,44.56,44.56,44.56,45.97,46.4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-09-04,75.26,77.42,77.42,77.42,77.42,77.42,77.42,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-02,83.81,86.21,86.21,86.21,86.21,86.21,86.21,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-13,72.72,71.69,71.69,71.96,76.64,78.01,78.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2020-03-17,68.75,71.69,71.69,76.64,78.01,78.01,78.41,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-19,68.25,70.47,71.48,76.64,78.01,78.01,78.41,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-10-19,100.52,104.86,106.09,108.69,108.91,108.91,108.91,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2021-12-03,97.86,104.06,104.06,105.06,107.37,107.37,107.37,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2022-05-04,90.6,90.17,90.17,90.17,90.17,90.17,90.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-13,81.93,85.65,88.32,88.49,88.49,88.49,88.49,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2022-06-23,76.91,81.37,81.37,81.37,81.37,83.08,84.38,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
2022-09-01,75.02,78.73,79.71,79.71,79.71,79.71,79.71,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2022-09-28,67.27,69.88,69.88,69.88,69.88,70.57,81.95,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
2022-10-03,68.3,69.88,69.88,69.88,69.88,81.95,81.95,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2022-10-17,65.02,67.45,69.1,70.57,81.95,81.95,82.96,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-06-12,88.99,93.95,94.72,96.4,97.17,99.9,99.9,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2023-09-06,89.16,89.78,89.78,89.78,89.78,89.78,89.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-10,79.03,83.3,83.3,83.3,84.38,86.78,86.78,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2024-04-23,91.68,92.12,94.34,96.71,98.58,98.58,98.58,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2024-04-29,89.89,92.46,95.59,98.58,98.58,98.58,98.58,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2024-07-11,88.58,94.03,94.63,94.79,96.0,96.61,107.82,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2024-11-21,99.91,104.71,106.63,106.63,106.63,106.63,106.63,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2024-12-20,93.44,93.44,94.85,94.85,96.33,100.24,100.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0
2024-12-31,91.93,94.85,94.85,98.57,100.24,100.24,100.24,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2025-01-03,91.79,94.85,95.81,100.24,100.24,100.24,100.24,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
