BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2017-04-24,70.09,71.4,71.73,71.73,71.73,73.95,73.95,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-08-11,67.96,69.69,70.3,71.17,74.42,75.45,75.45,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2018-10-25,84.35,86.48,90.13,90.13,90.13,95.14,95.14,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2018-12-26,85.78,89.08,90.62,91.04,92.56,95.5,106.67,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2020-03-02,130.15,134.86,134.86,134.86,134.86,134.86,147.59,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1
2020-03-13,122.12,117.68,122.67,122.67,126.98,147.15,147.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2021-10-05,260.4,266.57,269.86,274.4,274.4,274.4,288.37,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
2021-10-14,261.19,274.4,274.4,274.4,274.4,288.19,288.37,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2022-01-28,244.55,257.08,257.08,257.08,257.08,257.08,257.08,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2022-04-27,219.66,226.04,226.04,226.04,226.04,238.22,238.22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
2022-05-12,208.58,220.94,221.61,238.22,238.22,238.22,238.22,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-10-19,204.91,206.79,206.79,206.79,207.53,222.76,230.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
2023-10-31,189.81,197.69,202.32,219.02,222.76,224.24,231.76,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-10-31,243.84,251.08,251.08,251.08,251.08,251.08,251.08,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2024-11-13,239.74,239.16,239.17,239.88,239.88,239.88,241.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-20,231.37,239.17,239.88,239.88,239.88,239.88,244.71,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2025-02-04,213.67,215.09,215.09,215.09,215.09,215.09,215.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,205.01,212.31,212.31,214.8,214.8,214.8,214.8,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-02-19,203.7,212.31,212.31,214.8,214.8,214.8,214.8,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-04-09,190.98,195.02,204.14,204.14,204.14,204.14,204.14,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
