BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-11-07,117.49,119.4,119.4,119.4,119.4,123.2,124.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
2018-10-16,213.94,214.19,214.19,214.19,214.19,214.19,214.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-31,192.71,199.73,201.37,201.37,201.37,202.23,202.23,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2020-02-28,376.03,394.14,394.14,394.14,394.14,394.14,394.14,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2020-03-10,336.56,333.46,333.46,333.46,333.46,333.46,364.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2020-03-13,303.55,294.16,306.04,329.38,329.38,329.38,376.41,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2020-03-19,244.78,306.04,329.38,329.38,329.38,364.26,376.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-10-29,393.43,450.0,474.99,481.6,489.97,522.01,530.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-11-03,402.71,468.57,480.37,489.97,489.97,526.89,530.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-05-13,475.78,505.38,510.91,512.97,512.97,512.97,526.53,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
2021-08-23,448.43,464.76,473.44,473.44,473.44,473.44,473.44,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2021-09-23,423.35,422.82,422.82,422.82,422.82,422.82,422.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,406.08,415.15,415.15,419.95,419.95,419.95,419.95,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-10-06,400.16,415.15,419.95,419.95,419.95,419.95,419.95,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2022-04-13,414.98,417.92,417.92,417.92,417.92,417.92,425.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-04-28,385.38,381.53,381.53,385.56,404.17,425.07,425.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2022-05-10,358.41,380.62,403.13,416.63,425.07,425.07,425.07,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-01-08,1964.42,2066.68,2066.68,2066.68,2066.68,2066.68,2066.68,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-01-14,1949.53,2066.68,2066.68,2066.68,2066.68,2066.68,2066.68,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2025-01-27,1842.64,1903.79,1903.79,1903.79,1903.79,1924.32,1925.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-02-24,1732.2,1924.32,1924.32,1924.32,1924.32,1925.0,1957.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-05-28,1619.94,1768.74,1816.78,1840.62,1940.6,1940.6,1940.6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-07-16,1536.75,1568.0,1568.0,1568.0,1568.0,1568.0,1598.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-08-06,1393.61,1393.61,1401.79,1436.12,1536.18,1602.92,1998.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-08-15,1343.16,1436.12,1530.03,1559.37,1598.0,1602.92,1998.01,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
