BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-09-15,27.97,28.86,29.34,29.34,29.34,29.44,29.73,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0
2016-11-14,26.85,27.57,28.16,28.16,28.16,28.16,28.16,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-09-07,24.29,24.81,24.89,25.02,25.15,25.15,25.15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-02-09,25.78,27.02,27.02,27.02,27.02,27.11,28.68,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
2018-12-26,33.77,34.33,34.54,35.01,35.22,35.22,35.22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2019-04-24,32.07,32.54,32.54,32.54,32.54,33.5,34.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
2020-03-02,35.33,36.85,36.85,42.16,42.16,42.16,42.16,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-09-24,39.89,40.82,41.15,42.22,42.22,42.5,43.59,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0
2021-01-15,37.45,39.39,42.39,42.44,42.44,42.44,42.44,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-09-13,35.99,36.16,36.16,36.16,36.16,36.31,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-09-16,35.3,35.71,35.71,35.71,36.17,36.37,37.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2021-09-28,34.68,35.28,35.91,36.31,36.31,37.07,37.07,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2022-05-20,41.35,42.25,42.25,42.25,42.25,42.25,42.25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-06-10,39.27,39.34,40.87,41.26,41.85,41.85,43.1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2022-06-21,38.82,41.04,41.46,41.85,41.85,42.89,43.91,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2022-09-07,40.65,40.72,40.72,40.8,40.8,40.8,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-19,39.85,40.73,40.8,40.8,40.8,40.88,41.55,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2023-03-27,33.96,35.37,36.03,36.03,36.03,36.23,36.23,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2023-09-08,32.8,34.11,34.97,34.97,34.97,34.97,34.97,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2023-10-10,32.52,32.68,32.68,32.68,32.68,32.68,32.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-25,28.62,29.14,30.01,30.01,30.01,30.01,30.01,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2023-10-30,28.57,30.01,30.01,30.01,30.01,30.01,30.01,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2023-12-01,27.91,28.56,29.27,29.27,29.42,29.42,29.42,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2024-06-17,27.86,28.2,28.2,28.2,29.55,29.87,30.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2024-06-20,27.63,28.2,28.2,28.34,29.87,30.17,30.31,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2024-11-18,27.14,29.04,29.99,31.16,31.2,31.2,31.2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-09-05,24.38,24.46,24.46,24.46,24.46,24.46,24.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-11,24.15,24.16,24.16,24.16,24.16,24.16,24.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-23,23.22,23.62,23.69,23.69,23.69,23.69,23.69,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-10-14,23.01,23.24,23.53,23.53,23.53,23.53,24.34,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2025-11-06,20.89,21.96,22.01,22.48,24.34,24.34,24.34,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026-04-14,20.51,21.37,21.77,21.77,21.77,21.77,24.26,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
