BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-05-06,65.96,68.0,68.0,68.0,68.0,68.0,68.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-06-20,63.69,65.02,67.5,71.94,73.15,78.86,78.86,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-06-28,62.4,68.37,71.94,73.32,75.91,78.86,78.86,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-11-02,72.36,79.51,79.51,80.55,81.18,81.18,81.18,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-10-25,119.92,124.86,126.83,126.83,126.83,129.01,129.01,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2018-12-26,111.19,116.19,123.43,125.82,127.61,139.65,143.66,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-04-18,133.01,138.79,140.26,140.26,140.26,140.26,143.83,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0
2020-03-02,147.08,150.25,150.25,150.25,150.25,150.25,150.25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-10,130.82,128.24,128.24,128.24,128.24,132.18,147.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2020-03-13,118.71,110.54,116.37,116.37,132.18,132.49,147.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
