BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-06-28,93.78,98.04,99.72,99.81,100.2,100.74,100.74,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2016-08-25,90.82,92.22,92.22,92.22,92.22,92.22,92.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-12,89.8,90.6,90.65,90.65,90.65,90.65,96.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2017-01-06,95.68,102.18,102.18,102.18,102.18,104.09,104.97,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2017-08-16,119.08,120.45,120.63,123.52,126.18,126.18,126.18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2018-02-12,118.24,121.37,121.37,121.37,124.7,125.21,125.21,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2018-02-22,115.54,118.27,123.61,124.7,125.21,125.21,125.21,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2018-12-26,128.4,128.12,128.9,130.12,132.35,143.44,144.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2018-12-28,125.71,128.12,129.32,130.43,132.39,143.44,144.02,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
2019-08-19,131.21,133.96,134.18,138.23,139.42,144.5,146.32,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2020-03-24,91.66,109.35,109.35,109.35,109.35,121.7,129.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-05-10,246.01,259.21,259.21,266.95,271.04,271.04,271.04,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-05-12,247.6,259.21,259.21,268.57,271.04,271.04,271.04,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2022-06-17,230.33,253.37,253.37,253.37,253.37,289.7,317.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-10-30,329.67,401.18,416.28,425.96,433.9,463.9,469.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-05-01,422.39,441.81,448.27,457.91,457.91,457.91,457.91,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2024-12-20,491.25,492.99,493.61,511.86,529.58,584.01,584.01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2025-02-24,497.56,507.79,507.79,507.79,507.79,507.79,507.79,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-03-14,457.41,464.87,464.87,464.87,464.87,464.87,464.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-26,426.77,430.99,430.99,430.99,430.99,443.44,451.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2025-04-02,424.37,413.15,413.15,420.2,425.52,451.73,451.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0
2025-04-09,406.13,410.81,420.2,425.52,443.44,451.73,451.73,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2025-06-16,409.12,409.95,409.95,409.95,409.95,409.95,409.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23,398.5,408.56,409.76,409.76,409.76,409.76,409.76,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
