BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-08-19,65.21,65.85,65.85,65.85,65.85,65.85,65.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-21,60.38,61.16,61.66,61.66,61.66,61.66,61.66,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-09-27,59.92,61.66,61.66,61.66,61.66,61.66,61.66,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016-11-02,56.05,57.4,59.35,60.95,60.95,64.4,64.4,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2017-05-25,69.12,69.25,69.25,69.25,69.25,69.25,69.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-21,62.75,66.38,67.44,67.44,67.44,67.44,67.88,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0
2018-03-06,75.12,75.93,75.93,77.89,77.89,77.89,77.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-03-08,74.29,75.93,75.93,77.89,77.89,77.89,77.89,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2018-10-12,91.73,92.77,92.77,92.77,92.77,92.77,92.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-31,83.31,88.07,88.09,88.09,88.09,88.09,88.09,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2018-11-21,77.31,82.01,84.04,84.04,84.04,85.62,85.93,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2018-11-26,78.14,84.04,84.04,84.04,84.04,85.93,85.93,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2019-06-03,82.87,86.91,88.97,90.92,91.63,95.64,95.64,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-02,99.52,101.77,101.77,101.77,101.77,101.77,101.77,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-10,93.23,92.59,92.59,92.59,92.59,92.59,100.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2020-03-24,69.28,81.5,86.2,89.46,89.46,100.68,110.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-01-24,214.7,219.56,222.43,222.43,222.43,222.43,222.43,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-02-25,202.53,213.2,213.2,218.32,220.27,220.27,220.27,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2023-09-25,202.33,201.58,201.58,201.58,201.58,201.58,201.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-28,197.84,200.31,200.31,200.31,200.31,200.31,200.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-10,193.05,194.36,194.36,194.36,194.36,197.55,200.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2023-10-16,188.77,189.36,189.36,189.36,189.36,197.55,200.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
2023-10-30,179.79,188.89,188.89,197.55,197.55,200.9,217.41,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2024-05-31,214.02,213.76,219.93,222.55,222.55,233.1,238.86,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
2024-12-20,241.77,244.21,246.63,253.51,260.43,263.87,263.87,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2025-02-25,237.6,247.95,247.95,247.95,247.95,247.95,247.95,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-03-17,221.39,228.52,230.34,231.45,231.45,231.45,231.92,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-03-19,221.05,228.96,231.45,231.45,231.45,231.45,231.92,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-04-09,218.79,221.14,222.37,222.37,224.41,234.08,234.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0
2025-10-14,238.5,244.69,245.53,245.53,245.53,245.53,248.32,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2025-11-19,227.39,241.96,248.32,250.76,252.9,252.9,277.2,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
