BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-11-07,11.0,11.09,11.09,11.09,11.09,11.09,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-09,10.78,11.09,11.09,11.09,11.09,11.09,11.09,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-02-06,14.89,14.95,15.07,15.24,15.24,15.34,15.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-08-14,12.59,12.86,12.86,12.86,12.86,12.86,12.86,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-08-16,12.78,12.85,12.85,12.85,12.85,12.85,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-29,12.27,12.36,12.36,12.36,12.36,12.53,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-09-19,11.6,12.01,12.43,12.53,12.53,12.53,13.33,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2018-12-26,10.36,10.63,11.42,11.62,11.86,12.17,12.23,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-05-10,11.12,11.04,11.12,11.12,11.12,12.79,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2019-11-22,11.96,12.43,12.7,13.11,13.42,13.81,14.18,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-02,11.69,11.99,11.99,11.99,11.99,11.99,11.99,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-10,10.26,10.91,10.91,10.91,10.91,10.91,10.91,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2020-03-13,9.95,10.91,10.91,10.91,10.91,10.91,10.91,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2020-03-24,8.25,8.93,9.07,9.13,9.13,10.06,10.96,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-10-29,12.52,13.5,16.46,17.36,17.47,17.88,17.88,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
