BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,G_2%_5d,G_2.5%_5d,G_3%_5d,G_3.5%_5d,G_4%_5d,G_4.5%_5d,G_5%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_2.5%_10d,G_3%_10d,G_3.5%_10d,G_4%_10d,G_4.5%_10d,G_5%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_2.5%_15d,G_3%_15d,G_3.5%_15d,G_4%_15d,G_4.5%_15d,G_5%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_2.5%_20d,G_3%_20d,G_3.5%_20d,G_4%_20d,G_4.5%_20d,G_5%_20d,G_8%_20d,G_10%_20d
2015-08-27,21.67,21.82,22.2,22.2,22.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-09-02,21.04,22.2,22.2,22.2,22.2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2015-09-25,19.77,20.0,20.5,20.5,21.02,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
2015-09-29,19.71,20.5,20.5,20.54,21.15,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0
2015-12-15,19.06,19.8,19.8,19.8,19.8,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2016-01-12,17.81,17.97,17.97,18.33,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
2016-01-22,16.92,17.66,19.48,19.91,20.88,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-06-17,19.07,19.95,19.95,20.32,21.04,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2017-04-17,26.48,27.94,29.34,29.34,29.34,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-10-30,40.87,44.48,46.09,46.09,46.09,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-06-04,43.94,46.07,46.68,48.16,49.6,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2022-01-24,151.9,150.26,164.02,164.02,164.02,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2022-01-28,144.26,164.02,164.02,164.02,164.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-04-13,131.15,140.01,144.86,144.86,144.86,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-10-30,187.77,197.0,198.69,203.71,203.77,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
2024-04-29,182.89,188.21,188.21,188.21,188.21,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2024-05-24,171.79,176.69,180.67,180.67,180.67,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2025-01-03,180.31,183.77,191.01,195.08,195.08,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
2025-01-13,180.07,191.01,195.08,195.08,205.81,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2025-03-17,165.83,170.37,171.25,171.25,171.25,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2025-04-09,165.21,161.68,167.6,167.6,167.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
