BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2015-08-26,53.75,54.39,54.39,54.39,54.39,56.43,57.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
2015-09-02,52.92,53.47,54.03,54.26,55.63,56.79,60.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
2015-09-08,53.05,53.47,54.03,55.63,55.93,57.0,60.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
2017-10-26,71.29,71.31,71.83,73.24,73.24,74.88,75.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0
2017-11-01,70.79,71.37,72.84,73.24,73.63,74.88,75.88,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0
2017-11-07,70.86,72.84,73.24,73.24,74.88,75.88,75.88,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2018-02-12,66.77,68.34,68.34,68.34,68.34,68.34,68.34,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-02-15,67.65,68.34,68.34,68.34,68.34,68.34,68.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-26,62.73,66.08,66.08,66.08,66.08,66.08,66.08,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2018-05-04,60.01,61.39,61.39,62.09,62.16,64.53,65.21,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0
2018-10-12,66.1,74.02,76.5,76.5,78.16,79.97,80.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-02,104.29,108.77,108.77,108.77,108.77,108.77,109.03,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2020-03-13,99.5,105.99,105.99,105.99,105.99,109.03,109.03,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2021-01-25,118.21,119.31,119.31,119.31,119.31,119.31,119.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,111.11,115.23,115.35,117.01,123.01,123.03,123.89,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-03-05,112.62,115.25,116.19,121.23,123.01,123.27,123.89,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2022-05-23,133.59,137.22,137.22,137.22,137.22,137.22,137.22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-06-21,125.59,133.76,135.84,135.84,135.84,137.76,139.6,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
2022-10-03,119.12,121.31,121.31,123.29,126.65,134.02,137.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2022-10-13,117.08,123.29,124.27,127.47,132.22,137.42,141.85,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-02-10,129.88,131.94,133.0,133.0,133.0,138.49,143.69,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1
2023-06-01,136.08,139.76,140.82,142.83,143.75,144.18,149.99,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
2023-10-04,138.85,138.97,143.92,144.73,144.91,146.94,147.06,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2023-10-10,137.72,139.89,143.92,144.91,145.78,146.94,147.06,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2023-10-12,136.33,143.92,144.91,145.17,145.78,146.94,147.06,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
2024-11-07,160.32,165.33,170.23,177.01,177.01,177.01,177.01,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-01-08,159.03,158.16,164.96,167.74,167.74,170.74,177.66,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
2025-01-14,156.72,164.96,167.74,167.74,167.88,171.7,177.66,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
