BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2017-02-03,76.42,76.81,78.13,78.13,78.13,78.46,78.46,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2017-02-08,75.86,78.13,78.13,78.13,78.13,78.46,78.46,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2017-11-10,83.4,84.6,84.6,92.19,92.19,92.19,96.1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-02-26,80.28,81.18,82.27,82.6,82.6,82.6,82.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2018-07-09,81.3,83.53,84.6,90.35,90.86,92.74,93.87,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-10-30,80.77,82.24,84.58,85.12,86.42,89.21,89.21,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2018-12-26,73.48,75.16,75.41,75.79,78.44,82.87,85.4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2019-04-29,80.44,82.06,82.06,82.06,82.06,82.06,82.06,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2019-05-15,77.91,78.95,78.95,78.95,79.24,80.32,82.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2019-05-30,74.17,76.42,79.24,80.32,80.32,82.27,93.96,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2019-06-03,72.92,77.8,79.24,80.32,81.43,83.3,93.96,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-02-05,83.49,84.86,84.86,84.86,84.86,84.86,84.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,82.56,84.23,84.72,84.72,84.72,84.72,84.72,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-03-04,76.19,75.12,80.98,82.53,82.53,82.53,82.53,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2020-03-10,73.8,77.29,82.53,82.53,82.53,82.53,82.53,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-08-03,159.7,159.54,163.11,164.11,164.11,164.76,164.76,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-08-06,158.43,160.32,164.11,164.11,164.76,164.76,164.76,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-10-05,148.57,152.56,161.75,182.12,182.12,182.12,182.12,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-01-28,164.74,194.22,194.22,194.22,194.22,194.22,194.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-04-19,159.61,161.32,161.32,161.32,161.32,161.32,161.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-19,153.12,152.74,152.74,152.74,152.74,152.74,155.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-04,143.65,144.49,144.49,148.67,148.67,155.87,162.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
2023-04-27,153.95,158.22,158.22,158.22,158.22,158.22,158.22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023-08-23,149.0,152.42,152.42,152.42,152.42,152.42,152.42,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023-09-14,141.81,142.46,142.46,142.46,142.46,142.46,142.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-28,137.2,138.81,138.81,139.84,139.84,139.84,139.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-24,131.74,131.37,131.37,131.37,134.14,139.46,146.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
2023-10-31,124.62,127.77,128.33,134.14,136.98,140.75,146.23,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2024-02-06,130.25,132.18,135.19,135.77,138.15,143.44,143.48,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2024-05-30,124.91,127.59,127.59,127.59,127.59,132.57,135.22,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0
2025-02-06,106.17,108.66,110.9,113.54,115.47,117.4,117.4,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2025-04-09,94.59,95.8,95.8,95.8,95.8,97.6,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-08-05,83.72,85.16,86.8,87.77,87.77,87.77,87.77,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2025-08-07,83.44,86.16,86.93,87.77,87.77,87.77,87.77,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
