BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,High_30d,High_40d,G_2%_5d,G_4%_5d,G_6%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_4%_10d,G_6%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_4%_15d,G_6%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_4%_20d,G_6%_20d,G_8%_20d,G_10%_20d,G_2%_30d,G_4%_30d,G_6%_30d,G_8%_30d,G_10%_30d,G_2%_40d,G_4%_40d,G_6%_40d,G_8%_40d,G_10%_40d
2016-10-27,28.66,28.8,28.8,28.8,30.0,30.49,31.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
2016-11-07,28.03,28.39,28.56,30.24,30.24,31.57,32.38,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2016-11-15,27.97,29.3,30.24,30.37,31.1,31.83,32.38,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017-01-27,29.6,29.75,29.75,29.75,30.41,30.41,30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2017-02-03,29.0,29.32,29.42,30.41,30.41,30.41,30.41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-02-08,28.87,29.32,30.14,30.41,30.41,30.41,30.41,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-04-26,28.6,28.62,28.62,28.62,28.62,28.62,28.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-03,27.87,28.23,28.23,28.23,28.36,28.69,28.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2017-05-18,27.2,27.53,28.5,28.5,28.69,28.69,28.69,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2017-07-12,26.45,26.84,27.43,30.37,30.37,30.37,30.37,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017-11-17,28.13,29.66,32.4,32.4,33.06,33.25,33.38,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-03-26,29.48,30.52,31.06,31.1,31.96,32.78,32.78,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2018-12-26,35.31,36.97,38.07,38.2,38.2,38.2,38.2,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2020-03-02,39.16,39.79,39.79,39.79,39.79,40.32,40.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2020-10-22,40.46,40.91,41.61,43.33,43.37,43.72,43.72,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2021-02-02,38.87,39.71,40.83,41.09,41.09,41.09,42.07,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0
2021-10-14,38.3,39.78,39.78,39.78,39.78,39.78,39.78,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2021-12-02,37.42,38.31,39.04,39.35,39.35,40.93,40.93,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
2022-05-03,35.64,37.36,37.36,38.4,39.01,39.26,39.43,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2022-07-28,34.85,35.58,35.58,35.58,35.58,35.58,35.58,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-08-05,34.39,34.63,35.23,35.23,35.23,35.23,35.23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-09-09,32.32,32.79,32.79,32.79,32.79,32.79,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-22,30.55,30.51,30.86,30.86,30.86,30.86,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-28,30.14,30.49,30.86,30.86,30.86,30.86,30.86,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-10-03,29.96,30.86,30.86,30.86,30.86,30.86,30.86,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2022-10-13,28.32,29.33,29.33,29.84,29.99,30.62,30.62,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
2023-03-14,29.14,29.85,30.27,31.33,31.96,31.96,31.96,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2023-03-17,29.07,29.99,30.86,31.96,31.96,31.96,31.96,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
2023-05-26,28.12,28.9,28.9,29.47,29.47,30.27,30.27,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0
2023-05-31,28.62,28.84,28.9,29.47,29.74,30.27,30.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
2023-07-19,27.78,28.58,28.58,28.58,28.58,28.58,28.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2023-10-03,26.15,26.56,26.7,28.78,29.41,30.37,31.64,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-10-05,26.02,26.7,26.7,28.98,30.02,30.38,32.25,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024-12-26,35.6,36.19,36.19,36.19,37.0,37.06,39.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
2024-12-31,35.62,36.19,36.19,36.88,37.06,37.43,39.86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1
2025-01-13,34.56,35.88,37.0,37.06,37.06,39.86,42.94,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2025-10-14,38.61,38.91,38.91,39.34,39.34,39.73,40.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2025-10-24,36.96,39.34,39.34,39.73,39.73,40.05,40.05,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0
2026-04-16,46.0,46.72,47.83,47.83,47.83,48.14,48.14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
