BuyDate,BuyPrice,High_5d,High_10d,High_15d,High_20d,G_2%_5d,G_2.5%_5d,G_3%_5d,G_3.5%_5d,G_4%_5d,G_4.5%_5d,G_5%_5d,G_8%_5d,G_10%_5d,G_2%_10d,G_2.5%_10d,G_3%_10d,G_3.5%_10d,G_4%_10d,G_4.5%_10d,G_5%_10d,G_8%_10d,G_10%_10d,G_2%_15d,G_2.5%_15d,G_3%_15d,G_3.5%_15d,G_4%_15d,G_4.5%_15d,G_5%_15d,G_8%_15d,G_10%_15d,G_2%_20d,G_2.5%_20d,G_3%_20d,G_3.5%_20d,G_4%_20d,G_4.5%_20d,G_5%_20d,G_8%_20d,G_10%_20d
2015-08-26,88.35,92.25,92.25,93.31,93.31,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2015-09-30,83.19,88.31,89.39,89.39,89.39,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2015-10-26,78.94,79.02,79.02,79.02,79.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-30,78.3,79.02,79.02,79.02,79.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-16,73.62,74.68,77.11,77.11,77.11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
2015-11-18,73.46,76.83,77.11,77.11,77.11,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
2015-12-16,67.3,70.15,70.15,70.15,70.15,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
2015-12-21,67.94,70.15,70.15,70.15,70.15,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2016-01-14,59.93,61.99,61.99,62.7,62.7,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
2016-01-21,60.15,61.99,62.7,62.7,72.52,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
2016-06-28,65.03,67.19,69.34,69.34,69.34,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2017-02-24,75.61,79.28,79.28,79.28,79.28,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
2017-03-28,72.15,75.04,77.84,77.84,82.91,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2017-09-01,68.77,69.4,70.59,73.0,73.48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2018-02-12,68.94,78.04,80.89,80.89,80.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-09-17,100.87,102.26,103.9,103.9,103.9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2018-10-15,93.08,96.97,96.97,96.97,96.97,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0
2018-10-29,86.45,84.31,84.31,84.31,85.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-02,81.72,84.01,84.01,85.04,92.75,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
2018-11-06,81.24,84.01,84.27,88.55,92.75,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2018-12-26,67.25,68.91,71.25,71.71,73.38,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
2018-12-31,67.52,70.6,71.25,73.38,73.38,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
2019-05-22,63.01,64.02,65.68,66.98,69.78,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2019-05-24,63.13,64.02,66.3,66.98,70.19,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2019-06-03,61.06,66.3,66.98,70.19,70.85,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-10-10,62.74,67.78,68.86,70.99,76.57,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-10,58.1,56.59,56.59,56.59,56.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,44.52,49.2,51.58,54.42,54.42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-10-29,57.14,64.42,74.03,74.03,75.24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023-03-20,95.24,97.39,100.67,100.67,100.67,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
2025-04-09,175.6,174.87,191.5,191.5,193.91,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
